iD,Year,Month,Day,Hour,Minute,Second,ΔPrGross[mm],ΔPrSoil[mm],ΔPet[mm],ΔSink[mm],ΔTranspiration[mm],ΔEvaporation[mm],ΔRecharge[mm],Hpond[mm],ΔRunoff[mm],∑WaterBalance_η[mm]
1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.875794279719131e-9
2.0,1.0,1.0,1.0,13.0,0.0,0.0,1.8391268479999994,2.2633870093391337,0.0,0.0,0.0,0.0,7.089636214363904e-10,0.0,0.0,3.07045051099955e-8
3.0,1.0,1.0,1.0,14.0,0.0,0.0,1.8391268479999994,2.2177983973875257,0.0,0.0,0.0,0.0,7.385371712650315e-10,0.0,0.0,1.7931367335912314e-8
4.0,1.0,1.0,1.0,15.0,0.0,0.0,1.8391268479999994,2.180200304871505,0.0,0.0,0.0,0.0,7.668954833640753e-10,0.0,0.0,1.2496830681106103e-8
5.0,1.0,1.0,1.0,16.0,0.0,0.0,1.8391268479999994,2.1516525827767907,0.0,0.0,0.0,0.0,7.909969139481917e-10,0.0,0.0,9.542877745766418e-9
6.0,1.0,1.0,1.0,17.0,0.0,0.0,1.8391268479999923,2.1258368959282095,0.0,0.0,0.0,0.0,8.147470666272739e-10,0.0,0.0,7.726103974179298e-9
7.0,1.0,1.0,1.0,18.0,0.0,0.0,1.8391268480000065,2.102618532952498,0.0,0.0,0.0,0.0,8.379446805497242e-10,0.0,0.0,6.500283321917306e-9
8.0,1.0,1.0,1.0,19.0,0.0,0.0,1.8391268479999994,2.0740181729223366,0.0,0.0,0.0,0.0,8.704579092643857e-10,0.0,0.0,5.6821996999713465e-9
9.0,1.0,1.0,1.0,20.0,0.0,0.0,1.8391268480001273,2.056174913991555,0.0,0.0,0.0,0.0,8.934662632058101e-10,0.0,0.0,5.031327354522077e-9
10.0,1.0,1.0,1.0,21.0,0.0,0.0,1.8391268479998715,2.03992391774662,0.0,0.0,0.0,0.0,9.158824177093251e-10,0.0,0.0,4.509255931869566e-9
11.0,1.0,1.0,1.0,22.0,0.0,0.0,1.8391268479999994,2.0249894841370093,0.0,0.0,0.0,0.0,9.378594385277615e-10,0.0,0.0,4.456491979899069e-9
12.0,1.0,1.0,1.0,23.0,0.0,0.0,1.8391268479999994,2.0063320543850836,0.0,0.0,0.0,0.0,9.684537293303189e-10,0.0,0.0,1.0308696408556124e-8
